"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnd","MLoad.Mnq","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","DC_AC1.Sa","DC_AC1.Sb","DC_AC1.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","DC_AC1.Spd","DC_AC1.Spq","DC_AC1.Snd","DC_AC1.Snq","DC_AC1.Szmd","DC_AC1.Szmq","Va.v"
0.0034,30.7118,5.78391,-25.1292,26.3394,-6.00061,9.34751,-11.4758,-4.67795,-5.34381,4.34639,10.4854,-14.8318,26.3654,-4.70153,-10.2973,15.2494,-5.48357,-2.99619,4.59265,-7.14534e-13,1.63273e-12,1,-6.00061,9.34751,-11.4758,-4.67795,-5.34381,48.3694
0.0035,29.8019,6.5568,-24.3161,26.7439,-6.0184,9.68514,-11.2523,-4.7631,-5.36737,3.89297,11.1843,-15.0773,25.9089,-4.62749,-9.23881,15.6539,-5.24548,-2.52703,4.59665,-7.04552e-13,1.63168e-12,0,-6.0184,9.68514,-11.2523,-4.7631,-5.36737,42.2041
0.0036,28.8247,7.3461,-23.4588,27.1305,-6.052,10.0156,-11.0489,-4.85547,-5.38922,3.4007,11.8754,-15.2761,25.424,-4.52927,-8.18275,16.0405,-5.01042,-2.0762,4.56002,-7.09135e-13,1.63778e-12,0,-6.052,10.0156,-11.0489,-4.85547,-5.38922,35.9788
0.0037,27.783,8.15008,-22.5588,27.4995,-6.10003,10.3387,-10.8642,-4.95443,-5.40873,2.87205,12.5557,-15.4278,24.911,-4.40562,-7.13107,16.4095,-4.77891,-1.64702,4.48612,-7.14637e-13,1.63086e-12,1,-6.10003,10.3387,-10.8642,-4.95443,-5.40873,29.7024
0.0038,26.6798,8.96704,-21.6175,27.8513,-6.16114,10.6543,-10.6973,-5.05935,-5.42533,2.30954,13.2225,-15.532,24.3702,-4.25541,-6.08548,16.7613,-4.55138,-1.24231,4.37855,-7.24145e-13,1.63354e-12,0,-6.16114,10.6543,-10.6973,-5.05935,-5.42533,23.3838
0.0039,25.5178,9.79526,-20.6363,28.186,-6.23411,10.9622,-10.5471,-5.16959,-5.43854,1.71578,13.8729,-15.5887,23.802,-4.07765,-5.04758,17.096,-4.32821,-0.864388,4.24102,-7.41593e-13,1.63082e-12,0,-6.23411,10.9622,-10.5471,-5.16959,-5.43854,17.0319
0.004,24.2999,10.633,-19.6168,28.5041,-6.31775,11.2624,-10.4128,-5.28455,-5.44793,1.09344,14.5045,-15.598,23.2064,-3.87153,-4.01881,17.4141,-4.10974,-0.515087,4.07734,-7.63224e-13,1.62921e-12,0,-6.31775,11.2624,-10.4128,-5.28455,-5.44793,10.6559
0.0041,23.029,11.4786,-18.5606,28.8058,-6.41097,11.5548,-10.2934,-5.40359,-5.45316,0.445201,15.1149,-15.5601,22.5838,-3.63636,-3.00047,17.7158,-3.89624,-0.195764,3.89132,-7.89797e-13,1.62616e-12,0,-6.41097,11.5548,-10.2934,-5.40359,-5.45316,4.26472
0.0042,21.7079,12.3302,-17.4693,29.0917,-6.51272,11.8394,-10.1879,-5.52614,-5.45392,-0.22621,15.7018,-15.4756,21.9342,-3.37163,-1.99373,18.0017,-3.68795,0.0926786,3.68679,-8.17588e-13,1.62511e-12,1,-6.51272,11.8394,-10.1879,-5.52614,-5.45392,-2.13253
0.0043,20.3397,13.1862,-16.3447,29.3621,-6.62204,12.1161,-10.0958,-5.65159,-5.44997,-0.91807,16.2632,-15.3451,21.2577,-3.07697,-0.999643,18.2721,-3.48507,0.349767,3.46747,-8.54426e-13,1.63009e-12,nan,-6.62204,12.1161,-10.0958,-5.65159,-5.44997,-8.52674
